PlantCode,GenID,power_gen,bus,FuelType,Pg,Pmax,Pmin,Qg,Qmax,Qmin,Lat,Lon
50216,GN91,-9.873959384932776e-16,363,Natural Gas Fired Combined Cycle,82.0006055,82.0,0,0,39.7,-27.3,33.816647,-118.244841
50216,GN92,-9.873959384932776e-16,363,Natural Gas Fired Combined Cycle,82.0006055,82.0,0,0,39.7,-27.3,33.816647,-118.244841
50216,GN93,-9.873959384932776e-16,363,Natural Gas Fired Combined Cycle,82.0006055,82.0,0,0,39.7,-27.3,33.816647,-118.244841
50216,GN94,-9.873959384932776e-16,363,Natural Gas Fired Combined Cycle,82.0006055,82.0,0,0,39.7,-27.3,33.816647,-118.244841
50216,GN95,-5.921211229326095e-16,363,Natural Gas Fired Combined Cycle,20.3412983,38.5,0,0,18.6,-12.8,33.816647,-118.244841
50216,GN96,-5.921211229326095e-16,363,Natural Gas Fired Combined Cycle,20.3412983,38.5,0,0,18.6,-12.8,33.816647,-118.244841
50218,U1,6.159538183048211e-16,1168,Conventional Hydroelectric,0.933339917,2.8,0,0,18.7771429,-14.6707143,37.860653,-120.879153
50223,1296,9.21483388150164e-16,1727,Conventional Hydroelectric,0.400002708,1.2,0,0,18.7771429,-14.6707143,41.028893,-121.892351
50224,7610,-4.453195120101694e-16,1895,Other Waste Biomass,0.0,0.5,0,0,13.9,-9.5,34.140501,-119.184529
50224,7710,-4.453195120101694e-16,1895,Other Waste Biomass,0.0,0.5,0,0,13.9,-9.5,34.140501,-119.184529
50224,7810,-4.453195120101694e-16,1895,Other Waste Biomass,0.0,0.5,0,0,13.9,-9.5,34.140501,-119.184529
50234,2074,1.7099975830442296e-15,1040,Natural Gas Internal Combustion Engine,0.900006589,0.9,0,0,61.5666667,-27.3666667,34.1019,-117.6381
50234,2075,1.7099975830442296e-15,1040,Natural Gas Internal Combustion Engine,0.900006589,0.9,0,0,61.5666667,-27.3666667,34.1019,-117.6381
50234,2076,1.7099975830442296e-15,1040,Natural Gas Internal Combustion Engine,0.900006589,0.9,0,0,61.5666667,-27.3666667,34.1019,-117.6381
50276,EXIS,10.559247166462052,1858,Onshore Wind Turbine,2.5638222,5.9,0,0,23.8842105,-22.5631579,33.9131,-116.5631
50281,WGEN,11.044175343487376,1852,Onshore Wind Turbine,13.4709302,31.0,0,0,12.3,-12.3,33.926111,-116.615
